title,pathway_hint,tier,original_description,note
Train for a Half-Marathon Running Milestone,long-term,A,Follow a structured 12-week aerobic base-building and speed-interval running program outdoors.,classic goal arc
Learn Traditional Bookbinding from Scratch,long-term,A,"Fold paper signatures, sew them onto linen cords, and craft a custom hardcover journal wrapped in buckram.",craft with real depth
Study Classical Oil Painting Techniques,long-term,A,"Learn layering, glazing, and color mixing by reproducing classical portrait or landscape studies on canvas.",serious classic art path
Master Sourdough Bread Baking from Wild Yeast,long-term,A,"Catch wild airborne yeasts to start a sourdough culture, test hydration percentages, and bake artisanal loaves.",the sourdough classic
Hand-Carve a Minimalist Wooden Spoon,long-term,A,Use a small Whittling knife and a hook knife to shape a functional spoon out of a branch block.,the classic first whittling project
Disc Golf Round,long-term,A,Head to a local public disc golf course with a mid-range driver and putter.,cheap course sport
Build a Miniature Diorama,long-term,A,"Use foam board, acrylic paint, and tiny twigs to craft a miniature abandoned building scene.",worldbuilding in miniature
Learn Basic Bicycle Maintenance,long-term,A,"Clean your bike chain, adjust your gear indexing, and patch a practice inner tube.",everyone owns a bike eventually
Pressed Flower Art,long-term,A,"Collect fallen petals and leaves on a walk, press them inside heavy heavy books, and frame them.","gentle, giftable craft"
Practice Shadowboxing,long-term,A,"Spend 15 rounds focusing entirely on footwork, guard positioning, and punch speed in front of a mirror.",equipment-free workout
Chess Strategy & Tactics,long-term,A,Study opening theory and play correspondence matches online.,evergreen strategy pursuit
Card & Sleight-of-Hand Magic,long-term,A,"Learn card controls, coin vanishes, and classic close-up sleight-of-hand.",umbrella for the 6 magic clones
Indoor Bouldering,long-term,A,Build functional grip strength and technique on indoor climbing walls.,booming social sport
Hiking & Hillwalking,long-term,A,Map out scenic national trails and weekend ridge walks.,"LT version, distinct from live walk"
Foraging for Wild Plants,long-term,A,"Learn regional ecology, spore identification, and ethical harvesting.",LT nature classic
Web Design & Coding,long-term,A,Learn modern layout engines and UI styling with Tailwind CSS.,"huge, free to start"
Heavy Classic Literature Journey,long-term,A,Work through massive narrative masterworks and complex character arcs.,big-books project
Fermentation & Kombucha Brewing,long-term,A,Master the microbiology of fermenting your own hot sauces or kombucha.,living-food hobby
Bonsai Tree Cultivation,long-term,A,"Learn the delicate art of wiring, pruning, and shaping miniature trees over years.",deduped: CSV had bonsai twice
Moroccan Tagine Cooking,long-term,A,Source authentic spices and master the slow-cooking process of traditional North African tagines.,"cooking depth, one pot"
Amateur Astronomy & Astrophotography,long-term,A,Invest in a starter telescope and track planetary movements and lunar phases.,covers the astro pair
Tabletop Roleplaying (D&D),long-term,A,"Gather friends to roll dice, build characters, and run a collaborative fantasy storytelling campaign.","social storytelling, huge now"
Design a DIY Zine,long-term,A,"Fold paper into a mini-booklet, draw or collage a niche topic, and photocopy it to hand out.",creative + shareable
