title,pathway_hint,topic,concept
Two-ingredient chocolate mousse,quick-fix,kitchen quick-wins,"whipped cream + melted chocolate, done in 15"
Quick-pickle a jar of red onions,quick-fix,kitchen quick-wins,"vinegar, sugar, salt — pink by dinnertime"
Make brown butter and put it on anything,quick-fix,kitchen quick-wins,five minutes to nutty magic
Master the pan cheese toastie,quick-fix,kitchen quick-wins,"low heat, lid on, both sides golden"
Blitz garlic-herb butter for the freezer,quick-fix,kitchen quick-wins,"log it, slice it for weeks"
Old-fashioned lemonade from scratch,quick-fix,kitchen quick-wins,"real lemons, real sugar, tasting as you go"
Caramelise an onion properly,quick-fix,kitchen quick-wins,"the honest 30-minute version, no shortcuts"
Shake a jar of cream into butter,quick-fix,kitchen quick-wins,arm workout with buttered toast at the end
One perfect French omelette,quick-fix,kitchen quick-wins,"soft, rolled, no colour — the chef's test"
Build a cheese board from whatever's in,quick-fix,kitchen quick-wins,arrange like you mean it
Toast and grind a custom spice mix,quick-fix,kitchen quick-wins,"whole spices, dry pan, pestle"
Make your own chilli oil,quick-fix,kitchen quick-wins,"sizzle aromatics into oil, jar it"
Bake soda bread,quick-fix,kitchen quick-wins,"no yeast, no proving, 40 minutes flat"
Whisk a real vinaigrette,quick-fix,kitchen quick-wins,3:1 and a jar — salads fixed forever
"Stovetop popcorn, three flavours",quick-fix,kitchen quick-wins,"salt-butter, sweet cinnamon, chilli-lime"
Poach an egg until it's actually right,quick-fix,kitchen quick-wins,"fresh egg, gentle swirl, repeat till proud"
No-churn two-ingredient ice cream,quick-fix,kitchen quick-wins,condensed milk + cream + any flavour
"Loose-leaf tea, tasted against the bags",quick-fix,kitchen quick-wins,"brew both, taste blind, pick a side"
Fresh pasta with flour and one egg,quick-fix,kitchen quick-wins,"knead, rest, roll with a bottle"
Hummus from a tin of chickpeas,quick-fix,kitchen quick-wins,better than the tub in ten minutes
Real hot chocolate from a bar,quick-fix,kitchen quick-wins,"melted chocolate, warm milk, no powder"
Zest and freeze the citrus bowl,quick-fix,kitchen quick-wins,save the peel before the fruit turns
Sharpen the kitchen knives properly,quick-fix,kitchen quick-wins,"stone or pull-through, then tomato test"
No-bake oat bars,quick-fix,kitchen quick-wins,"press into a tin, chill, slice"
Blind taste-test the supermarket basics,quick-fix,kitchen quick-wins,"own-brand vs branded, scores on the door"
Cook rice three ways and pick a winner,quick-fix,kitchen quick-wins,absorption vs rinse vs pilaf
Learn to skip rope again,quick-fix,move-your-body,"two-minute rounds, playground rhythm"
Follow a 15-minute beginner yoga flow,quick-fix,move-your-body,"mat optional, towel fine"
Dance flat-out to three songs,quick-fix,move-your-body,"curtains shut, volume up"
Walk a timed power mile,quick-fix,move-your-body,"brisk out-and-back, beat it next week"
Deck-of-cards workout,quick-fix,move-your-body,"each suit an exercise, number is the reps"
Learn a basic shuffle-dance step,quick-fix,move-your-body,running man in the kitchen
"Juggle two balls, then three",quick-fix,move-your-body,rolled socks work fine
Sit in a deep squat while the kettle boils,quick-fix,move-your-body,the resting position we all lost
One-leg balance while brushing teeth,quick-fix,move-your-body,habit-stacked stability
Try a beginner tai chi form,quick-fix,move-your-body,"slow motion, follow along"
Hula hoop to twenty spins,quick-fix,move-your-body,harder and funnier than remembered
First-touch drills against a wall,quick-fix,move-your-body,"any ball, any wall, both feet"
Commercial-break workout,quick-fix,move-your-body,move every ad break for one show
Relearn the cartwheel on grass,quick-fix,move-your-body,"soft ground, low expectations, big grin"
"Couch-to-5K, week one, run one",quick-fix,move-your-body,just the first twenty minutes
100 backpack swings,quick-fix,move-your-body,"books in a rucksack, hinge and swing"
One no-destination lap of the block by bike,quick-fix,move-your-body,just to feel the wind
Two boxing combos on a pillow,quick-fix,move-your-body,"jab-cross, jab-cross-hook, repeat"
Keep a balloon off the floor for five minutes,quick-fix,move-your-body,sillier and sweatier than it sounds
Behind-the-back throw and catch,quick-fix,move-your-body,"tennis ball, ten clean reps"
Speed-walk the supermarket run,quick-fix,move-your-body,errand becomes exercise
Animal walks across the living room,quick-fix,move-your-body,"bear crawl there, crab walk back"
Stand up from the floor without hands,quick-fix,move-your-body,the sit-stand test — train it
"Three salsa steps, solo",quick-fix,move-your-body,"basic, side, back — count out loud"
How far can you walk in exactly 15 minutes?,quick-fix,move-your-body,map the radius of a quarter hour
Full-commitment hopscotch,quick-fix,move-your-body,"chalk on the pavement, single leg landings"
Give one shelf the bookshop treatment,quick-fix,tidy-and-sort,"face-out favourites, tidy spines"
Fill one charity-shop bag in 15 minutes,quick-fix,tidy-and-sort,"timer on, decisions fast"
Tame the drawer of cables,quick-fix,tidy-and-sort,"test, coil, label, cull"
Turn every hanger backwards,quick-fix,tidy-and-sort,the six-month wardrobe truth audit
Pack a permanent gym/swim go-bag,quick-fix,tidy-and-sort,remove the excuse at the door
Digitise the loyalty cards,quick-fix,tidy-and-sort,wallet loses 2cm overnight
Turn the junk drawer into a useful drawer,quick-fix,tidy-and-sort,everything earns its place
File-fold one t-shirt drawer,quick-fix,tidy-and-sort,"vertical folding, see everything at once"
Build a real first-aid kit from the strays,quick-fix,tidy-and-sort,"plasters, painkillers, one box"
Make a landing spot for keys and wallet,quick-fix,tidy-and-sort,one bowl ends the morning hunt
Sort the medicine box,quick-fix,tidy-and-sort,"bin expired, list what's missing"
"Lay out tomorrow completely, tonight",quick-fix,tidy-and-sort,"clothes, bag, breakfast plan"
Inventory the freezer's mystery parcels,quick-fix,tidy-and-sort,label or liberate
Set up donate / mend / sell boxes,quick-fix,tidy-and-sort,three-box system by the wardrobe
Ten-minute car cockpit reset,quick-fix,tidy-and-sort,"bin bag, wipe, everything home"
Photograph and recycle the fridge-door layer,quick-fix,tidy-and-sort,"paper gone, nothing lost"
Reset the phone home screen to one page,quick-fix,tidy-and-sort,"essentials only, calm rectangle"
Start a borrowed-and-lent list,quick-fix,tidy-and-sort,before the memory fades
Take one inbox to zero,quick-fix,tidy-and-sort,unsubscribe as you go
Five-minute surfaces-only sweep,quick-fix,tidy-and-sort,"one room, flat surfaces cleared"
Count to ten in three new languages,quick-fix,learn-or-drill,"party trick, ten minutes"
Memorise your five key phone numbers,quick-fix,learn-or-drill,for the day the phone dies
Learn the four-move checkmate — and its defence,quick-fix,learn-or-drill,"scholar's mate, both sides"
Read a tide table properly,quick-fix,learn-or-drill,"highs, lows, springs, neaps"
Learn the Shipping Forecast regions,quick-fix,learn-or-drill,"Dogger, Fisher, German Bight…"
Read an OS map key properly,quick-fix,learn-or-drill,every symbol on one legend
Five keyboard shortcuts you'll actually use,quick-fix,learn-or-drill,muscle memory in an afternoon
Ten survival phrases for the next holiday,quick-fix,learn-or-drill,"greetings, thanks, two beers please"
"Roman numerals, finally",quick-fix,learn-or-drill,film credits and clock faces unlocked
Do-re-mi hand signs,quick-fix,learn-or-drill,the Sound of Music was teaching solfège
Spot five typefaces in the wild,quick-fix,learn-or-drill,Helvetica is everywhere once you see it
Fingerspell the BSL alphabet,quick-fix,learn-or-drill,"your name first, then speed"
Planets and their famous moons,quick-fix,learn-or-drill,"in order, with one fact each"
Five cloud types and what they promise,quick-fix,learn-or-drill,cumulus to cirrus forecasting
Estimate daylight left with your hand,quick-fix,learn-or-drill,four fingers to the horizon
Three card games you can teach anyone,quick-fix,learn-or-drill,"rummy, cheat, and a family favourite"
Kings and queens in order,quick-fix,learn-or-drill,the mnemonic that sticks
Read the treble clef in 20 minutes,quick-fix,learn-or-drill,Every Good Boy Deserves Football
"Laundry symbols, once and for all",quick-fix,learn-or-drill,decode the whole care label
Whistle with two fingers,quick-fix,learn-or-drill,loud enough to hail a cab
Finally understand the offside rule,quick-fix,learn-or-drill,"either code, diagrams allowed"
Learn the Greek alphabet,quick-fix,learn-or-drill,maths and physics suddenly legible
Type 10% faster with one drill,quick-fix,learn-or-drill,fifteen minutes on the weak fingers
Three ukulele chords and one song,quick-fix,learn-or-drill,"C, F, G and you're performing"
Fold a fitted sheet properly,quick-fix,learn-or-drill,"corners into corners — witchcraft, learned"
First-aid basics from a 10-minute video,quick-fix,learn-or-drill,recovery position and choking response
ID five aircraft overhead,quick-fix,observe-and-identify,"spot, then confirm on a flight tracker"
Catch tonight's ISS pass,quick-fix,observe-and-identify,"look up the time, wave at the crew"
A ten-minute sit spot,quick-fix,observe-and-identify,"one patch of garden, total attention"
Name three neighbourhood cats,quick-fix,observe-and-identify,and learn their actual patrol routes
ID the pavement-crack weeds,quick-fix,observe-and-identify,they all have names and stories
Five birdsongs by ear,quick-fix,observe-and-identify,a song-ID app confirms your guesses
Map the postboxes within a mile,quick-fix,observe-and-identify,check the royal ciphers while you're there
Hunt for ghost signs,quick-fix,observe-and-identify,faded painted ads on old brick
